player_id;full_name;position;age;height;weight;team;season;season_type;week;solo_tackle;assist_tackle;tackle_with_assist;sack;qb_hit;interception;fumble_forced;defense_snaps;defense_pct;team_defense_snaps;seasons_played
00-0027647;Devin McCourty;S;35.0;70.0;195.0;NE;2022;REG;1;6.0;0.0;0.0;0.0;0.0;0.0;0;60.0;1.0;60.0;12.0
00-0027647;Devin McCourty;S;35.0;70.0;195.0;NE;2022;REG;2;1.0;2.0;1.0;0.0;0.0;0.0;0;59.0;1.0;59.0;12.0
00-0027647;Devin McCourty;S;35.0;70.0;195.0;NE;2022;REG;3;6.0;2.0;1.0;0.0;0.0;0.0;0;60.0;1.0;60.0;12.0
00-0027647;Devin McCourty;S;35.0;70.0;195.0;NE;2022;REG;4;4.0;2.0;2.0;0.0;0.0;0.0;0;73.0;1.0;73.0;12.0
00-0027647;Devin McCourty;S;35.0;70.0;195.0;NE;2022;REG;5;2.0;1.0;1.0;0.0;0.0;0.0;0;58.0;0.88;66.0;12.0
00-0027647;Devin McCourty;S;35.0;70.0;195.0;NE;2022;REG;6;1.0;2.0;2.0;0.0;0.0;0.0;0;61.0;0.87;70.0;12.0
00-0027647;Devin McCourty;S;35.0;70.0;195.0;NE;2022;REG;7;6.0;1.0;0.0;0.0;0.0;0.0;0;67.0;0.94;71.0;12.0
00-0027647;Devin McCourty;S;35.0;70.0;195.0;NE;2022;REG;8;4.0;4.0;2.0;0.0;0.0;4.0;0;59.0;1.0;59.0;12.0
00-0027647;Devin McCourty;S;35.0;70.0;195.0;NE;2022;REG;9;3.0;1.0;0.0;0.0;0.0;0.0;0;62.0;1.0;62.0;12.0
00-0027647;Devin McCourty;S;35.0;70.0;195.0;NE;2022;REG;12;3.0;4.0;3.0;0.0;1.0;0.0;0;69.0;1.0;69.0;12.0
00-0027647;Devin McCourty;S;35.0;70.0;195.0;NE;2022;REG;13;3.0;2.0;1.0;0.0;0.0;0.0;0;75.0;1.0;75.0;12.0
00-0027647;Devin McCourty;S;35.0;70.0;195.0;NE;2022;REG;14;2.0;0.0;0.0;0.0;0.0;0.0;0;64.0;0.85;75.0;12.0
00-0027647;Devin McCourty;S;35.0;70.0;195.0;NE;2022;REG;15;2.0;0.0;0.0;0.0;0.0;0.0;0;68.0;1.0;68.0;12.0
00-0027647;Devin McCourty;S;35.0;70.0;195.0;NE;2022;REG;16;3.0;1.0;0.0;0.0;0.0;2.0;0;83.0;1.0;83.0;12.0
00-0027647;Devin McCourty;S;35.0;70.0;195.0;NE;2022;REG;17;2.0;0.0;0.0;0.0;0.0;0.0;0;71.0;1.0;71.0;12.0
00-0027647;Devin McCourty;S;35.0;70.0;195.0;NE;2022;REG;18;4.0;3.0;1.0;0.0;2.0;2.0;0;59.0;1.0;59.0;12.0
00-0027872;Kareem Jackson;S;34.0;70.0;196.0;DEN;2022;REG;1;2.0;1.0;0.0;0.0;0.0;0.0;0;55.0;1.0;55.0;12.0
00-0027872;Kareem Jackson;S;34.0;70.0;196.0;DEN;2022;REG;2;3.0;3.0;0.0;0.0;1.0;0.0;0;63.0;1.0;63.0;12.0
00-0027872;Kareem Jackson;S;34.0;70.0;196.0;DEN;2022;REG;3;3.0;4.0;1.0;0.0;0.0;1.0;0;56.0;1.0;56.0;12.0
00-0027872;Kareem Jackson;S;34.0;70.0;196.0;DEN;2022;REG;4;4.0;3.0;1.0;0.0;0.0;0.0;0;75.0;1.0;75.0;12.0
