player_id;player_name;position;height;weight;team;season;season_type;week;solo_tackle;assist_tackle;tackle_with_assist;sack;qb_hit;interception;fumble_forced;defense_snaps;defense_pct;team_defense_snaps;age;seasons_played
00-0024061;Tramon Williams;CB;71.0;191.0;BAL;2020;REG;10;1.0;1.0;1.0;0.0;0.0;0.0;0;14.0;0.24;58.0;37.0;14.0
00-0024061;Tramon Williams;CB;71.0;191.0;BAL;2020;REG;12;4.0;1.0;1.0;0.0;2.0;0.0;1;45.0;0.63;71.0;37.0;14.0
00-0024061;Tramon Williams;CB;71.0;191.0;BAL;2020;REG;15;3.0;0.0;0.0;0.0;0.0;0.0;0;43.0;0.74;58.0;37.0;14.0
00-0024061;Tramon Williams;CB;71.0;191.0;BAL;2020;REG;16;3.0;1.0;0.0;0.0;0.0;0.0;0;55.0;0.86;64.0;37.0;14.0
00-0024061;Tramon Williams;CB;71.0;191.0;BAL;2020;POST;19;2.0;1.0;0.0;0.0;0.0;0.0;0;12.0;0.21;57.0;37.0;14.0
00-0024239;Johnathan Joseph;CB;71.0;186.0;TEN;2020;REG;1;2.0;0.0;0.0;0.0;0.0;0.0;0;44.0;0.75;59.0;36.0;14.0
00-0024239;Johnathan Joseph;CB;71.0;186.0;TEN;2020;REG;2;1.0;3.0;2.0;0.0;1.0;0.0;0;39.0;0.51;76.0;36.0;14.0
00-0024239;Johnathan Joseph;CB;71.0;186.0;TEN;2020;REG;3;8.0;0.0;0.0;0.0;3.0;2.0;2;59.0;0.91;65.0;36.0;14.0
00-0024239;Johnathan Joseph;CB;71.0;186.0;TEN;2020;REG;5;2.0;0.0;0.0;0.0;1.0;0.0;0;54.0;0.75;72.0;36.0;14.0
00-0024239;Johnathan Joseph;CB;71.0;186.0;TEN;2020;REG;6;1.0;0.0;0.0;0.0;0.0;0.0;0;67.0;0.94;71.0;36.0;14.0
00-0024239;Johnathan Joseph;CB;71.0;186.0;TEN;2020;REG;7;4.0;0.0;0.0;0.0;0.0;0.0;2;46.0;0.58;79.0;36.0;14.0
00-0024239;Johnathan Joseph;CB;71.0;186.0;TEN;2020;REG;8;7.0;3.0;1.0;0.0;0.0;0.0;0;66.0;0.9;73.0;36.0;14.0
00-0024239;Johnathan Joseph;CB;71.0;186.0;ARI;2020;REG;10;1.0;0.0;0.0;0.0;0.0;0.0;0;22.0;0.3;73.0;36.0;14.0
00-0024239;Johnathan Joseph;CB;71.0;186.0;ARI;2020;REG;12;0.0;1.0;1.0;0.0;0.0;0.0;0;10.0;0.19;53.0;36.0;14.0
00-0024239;Johnathan Joseph;CB;71.0;186.0;ARI;2020;REG;13;1.0;0.0;0.0;0.0;0.0;0.0;0;13.0;0.16;81.0;36.0;14.0
00-0026280;Brandon Carr;CB;72.0;210.0;DAL;2020;REG;3;1.0;0.0;0.0;0.0;0.0;0.0;0;3.0;0.04;75.0;34.0;12.0
00-0026990;Malcolm Jenkins;S;72.0;204.0;NO;2020;REG;1;3.0;3.0;0.0;0.0;0.0;0.0;0;70.0;1.0;70.0;33.0;11.0
00-0026990;Malcolm Jenkins;S;72.0;204.0;NO;2020;REG;2;7.0;3.0;0.0;4.0;4.0;0.0;0;80.0;1.0;80.0;33.0;11.0
00-0026990;Malcolm Jenkins;S;72.0;204.0;NO;2020;REG;3;9.0;1.0;1.0;0.0;1.0;0.0;0;62.0;1.0;62.0;33.0;11.0
00-0026990;Malcolm Jenkins;S;72.0;204.0;NO;2020;REG;4;5.0;0.0;0.0;0.0;0.0;0.0;0;61.0;1.0;61.0;33.0;11.0
00-0026990;Malcolm Jenkins;S;72.0;204.0;NO;2020;REG;5;3.0;2.0;0.0;0.0;0.0;0.0;0;70.0;0.99;71.0;33.0;11.0
00-0026990;Malcolm Jenkins;S;72.0;204.0;NO;2020;REG;7;1.0;1.0;0.0;0.0;0.0;0.0;0;46.0;1.0;46.0;33.0;11.0
00-0026990;Malcolm Jenkins;S;72.0;204.0;NO;2020;REG;8;7.0;4.0;1.0;4.0;5.0;0.0;0;70.0;1.0;70.0;33.0;11.0
00-0026990;Malcolm Jenkins;S;72.0;204.0;NO;2020;REG;9;7.0;0.0;0.0;0.0;0.0;2.0;0;49.0;0.98;50.0;33.0;11.0
00-0026990;Malcolm Jenkins;S;72.0;204.0;NO;2020;REG;10;4.0;2.0;1.0;0.0;2.0;2.0;0;71.0;1.0;71.0;33.0;11.0
00-0026990;Malcolm Jenkins;S;72.0;204.0;NO;2020;REG;11;2.0;1.0;0.0;0.0;0.0;0.0;0;62.0;1.0;62.0;33.0;11.0
00-0026990;Malcolm Jenkins;S;72.0;204.0;NO;2020;REG;12;4.0;2.0;1.0;0.0;0.0;0.0;0;36.0;0.84;43.0;33.0;11.0
