"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"M8ZXXJB7","journalArticle","2025","Xu, Ting; Baghaei, Sh","Reshaping the future of sports with artificial intelligence: Challenges and opportunities in performance enhancement, fan engagement, and strategic decision-making","Engineering Applications of Artificial Intelligence","","","10.1016/j.engappai.2024.109912","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85213878035&doi=10.1016%2Fj.engappai.2024.109912&partnerID=40&md5=b417a921ee5a5f5ec6f0271e449e3e3a","The rapid advancement of artificial intelligence has significantly transformed the sports industry over the past decade. In sports performance, artificial intelligence-driven analytics has become essential for optimizing athlete training, injury prevention, and performance enhancement, with sophisticated algorithms analyzing player data to develop personalized training programs and identify areas for improvement. The impact of artificial intelligence on fan engagement has been profound, enabling the delivery of highly personalized content and recommendations that foster stronger connections between fans and their favorite teams or athletes. Leveraging artificial intelligence-powered algorithms, ticket pricing strategies are optimized, resulting in increased ticket sales and revenue. Artificial intelligence-based performance evaluation tools assist sports managers in making well-informed decisions regarding team composition and tactics. This study shows the use of an artificial neural network with artificial intelligence technologies, including data analysis, to improve sports performance, management, and decision-making. Data-driven insights aid in talent scouting and recruitment, allowing managers to identify promising athletes with precision. Issues about data privacy, algorithmic bias, and fair competition need to be addressed to ensure responsible and equitable utilization of artificial intelligence in augmenting the sports industry. The integration of artificial intelligence technologies has profoundly transformed both sports and sports management. From enhancing athlete performance and fan engagement to optimizing administrative tasks and strategic decision-making, the impact of artificial intelligence on the sports domain continues to expand. Results show significant enhancements in all areas, with artificial intelligence outperforming data analysis alone. Prediction errors of the artificial neural network model align well with experimental targets. © 2025 Elsevier B.V., All rights reserved.","2025","2025-09-29 14:50:41","2025-09-29 14:53:57","","","","","142","","","","","","","","","","","","","","","","","Type: Article","<p>Cited by: 3</p>; <p>Cited by: 3</p>","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"D39QSZFY","conferencePaper","2025","Wbaid, Saef; Ahmatkhonovich, Azizov Marufkhuja; Pulatova, Hilola; Afzal, Md","Artificial Intelligence-Powered Sports Analytics: Enhancing Performance Through Data Science","","","","10.1109/ICCIES63851.2025.11032536","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105011939762&doi=10.1109%2FICCIES63851.2025.11032536&partnerID=40&md5=6e193478df3ecf666cb07d8db2f3c4e3","Artificial Intelligence (AI)-powered sports analytics is revolutionizing athlete performance assessment by leveraging data science to enhance decision-making and training strategies. By integrating AI with advanced statistical models, sports professionals can gain deeper insights into player efficiency, tactics, and injury prevention. Traditional sports analysis methods rely on subjective assessments, basic statistical tools, and manual video analysis, which often result in inaccuracies, inefficiencies, and delayed decision-making. These limitations hinder optimal performance evaluation and proactive injury prevention. To address these challenges, we propose the Machine Learning for Performance Analysis and Injury Prediction (ML-PA-IP) framework, which integrates AI-driven machine learning models for real-time player performance tracking, biometric monitoring, and predictive injury analysis. This framework enhances accuracy, automates data processing, and enables proactive intervention. The proposed method applies ML-PA-IP to analyze vast datasets, including motion capture, physiological data, and historical performance metrics. It utilizes deep learning algorithms for player movement recognition, predictive analytics for injury risk assessment, and AI-based recommendations for optimizing training regimens. Findings indicate that ML-PA-IP significantly improves performance assessment accuracy, reduces injury occurrences by identifying risk factors in advance, and enhances game strategy through AI-driven insights. By leveraging AI-powered sports analytics, coaches, trainers, and athletes can make data-driven decisions that optimize performance, prevent injuries, and achieve long-term success in competitive sports. © 2025 Elsevier B.V., All rights reserved.","2025","2025-09-29 14:50:41","2025-09-29 14:53:21","","","","","","","","","","","","","","","","","","","","","","Type: Conference paper","<p>Cited by: 0</p>; <p>Cited by: 0</p>","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PPF36J3Z","journalArticle","2025","Zhang, Ling; An, Yifan","Enhancing Sports Team Management Through Machine Learning","IEEE Access","","","10.1109/ACCESS.2025.3551889","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105003047213&doi=10.1109%2FACCESS.2025.3551889&partnerID=40&md5=3243028f4bc26c86c296065d3bc797ee","Sports like basketball and baseball have seen significant improvements through the effective use of sports analytics. However, research on machine learning in football has primarily focused on prediction. There is a need to explore whether machine learning can contribute to generating more in-depth and accurate insights into football analysis. This essay presents a descriptive analysis of player performance in football matches. Typically, player performance in football is evaluated by consulting a panel of experts, though the criteria they use for evaluation remain undisclosed. By applying machine learning algorithms and pruning techniques, several classifications were developed to identify the most critical functional attributes of players. The functional metrics that delivered the best results in rating predictions had an average error of 0.17. The most significant performance data for each position on the field were closely aligned with the factors experts consider when grading players. The 34 performance characteristics identified achieved a prediction accuracy of 63.4% for match outcomes. © 2025 Elsevier B.V., All rights reserved.","2025","2025-09-29 14:50:41","2025-09-29 14:53:32","","55431 - 55441","","","13","","","","","","","","","","","","","","","","","Type: Article","<p>Cited by: 0; All Open Access; Gold Open Access</p>; <p>Cited by: 0; All Open Access; Gold Open Access</p>","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"RS9RZQ47","conferencePaper","2024","Shukla, Tushar Dhar; Nimma, Divya; Pokkuluri, Kiran Sree; Najmusaqib, Syed; Sivakumar, K. K.; Bala, B. Kiran","Utilizing Artificial Intelligence for Enhancing Performance and Preventing Injuries in Sports Analytics","","","","10.1109/IC-SIT63503.2024.10862063","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85218341936&doi=10.1109%2FIC-SIT63503.2024.10862063&partnerID=40&md5=604f09d0bb45aa6a6d273740d74ea353","The sports sector could see a revolution in player performance enhancement and injury prevention, especially with recent developments in artificial intelligence (AI). In order to identify areas for improvement and potential injury risks, this proposed work aims to utilize the potential of AI techniques, such as XGBoost, to evaluate extensive player data, including movement patterns, biomechanics, and physical condition. This strategy is unusual because it combines real-time feedback systems with AI-powered predictive modeling to offer athletes and coaches individualized training advice and early warnings about potential injury risks. Cleaning and normalization were done during the preparation phase to make sure the data was suitable for analysis. Utilizing XGBoost for feature extraction allowed for the identification of critical factors affecting efficiency and injury risk. In sports analytics, the suggested XGBoost-AI system was compared to other AI-based techniques for improving performance and avoiding injuries. The study's findings show that the XGBoost classifier significantly improves performance accuracy, which may reach 96%. This is in contrast to conventional approaches that depend on subjective evaluations and human data analysis, which can result in errors and inefficiencies. Python is used to implement the suggested work. AI-driven sports analytics platform can improve game strategy, fan engagement, and data-driven decision-making for sports organizations, enhancing competitiveness and sustainability in the sports industry. © 2025 Elsevier B.V., All rights reserved.","2024","2025-09-29 14:50:42","2025-09-29 14:54:05","","","","","","","","","","","","","","","","","","","","","","Type: Conference paper","<p>Cited by: 0</p>; <p>Cited by: 0</p>","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3A23ULPG","journalArticle","2020","Yiğit, Ahmet Talha; Samak, Barış; Kaya, Tolga","An XGBoost-lasso ensemble modeling approach to football player value assessment","Journal of Intelligent and Fuzzy Systems","","","10.3233/JIFS-189098","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85096962808&doi=10.3233%2FJIFS-189098&partnerID=40&md5=77db855a1bc33cdf1ec59dd78f03703a","Sports analytics is a field that is growing in popularity and application throughout the world. One of the open problems in this field is the valuation of football players. The aim of this study is to establish a football player value assessment model using machine learning techniques to support the transfer decisions of football clubs. The proposed model is mainly based on the intrinsic features of the individual players which are provided in Football Manager simulation game. To do this, based on the individual statistics of 5316 players who are active in 11 different major leagues from Europe and South America, different value assessment models are conducted using advanced supervised learning techniques which include ridge and lasso regressions, random forests and extreme gradient boosting. All the models have been built in R programming language. The performances of the models are compared based on their mean squared errors and their fit to the real world examples. An ensemble model with inflation is proposed as the output. © 2020 Elsevier B.V., All rights reserved.","2020","2025-09-29 14:50:43","2025-09-29 14:53:17","","6303 - 6314","","5","39","","","","","","","","","","","","","","","","","Type: Article","<p>Cited by: 8</p>; <p>Cited by: 8</p>","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2VIMIDV4","journalArticle","2025","Kumar, Ravinder; Bogia, Priyanka; Ul Haq, Ameen; Singh, Vikram; Reddy, T. Onima","Leveraging artificial intelligence and machine learning in sport sciences: a systematic literature review of applications, outcomes, and future directions","SPORT SCIENCES FOR HEALTH","","1824-7490","10.1007/s11332-025-01482-y","","BackgroundArtificial intelligence (AI) and machine learning (ML) are transforming sports sciences by enabling precise performance analysis, injury prevention, and rehabilitation. However, inconsistencies in protocols, lack of standardization, and practical deployment challenges limit their real-world impact.MethodologyThis PRISMA-guided systematic review was registered with PROSPERO (CRD42021235527). Literature searches were conducted across Scopus, PubMed, and Web of Science for studies published between 2018 and 2024. The PICO framework guided selection, and methodological quality was assessed using AMSTAR-2.ResultsA total of 40 studies were included. CNNs (n = 18; accuracy = 96 +/- 1.5%) and LSTMs (n = 10; 92 +/- 2%) performed best for motion tracking and gait analysis. SVMs (n = 17; 81 +/- 3%) and RFs (n = 16; 80 +/- 2.8%) were widely used in EMG, GPS, and workload analysis. Real-time feedback (n = 18) showed latency below 100 ms but was mainly validated in controlled settings; only 25% tested systems outdoors. Wearable sensors (e.g., IMUs, gyroscopes) were used in 34 studies, most frequently on the lower limbs. Participants averaged 42 +/- 28 in number, with a bias toward young, healthy males. Key limitations included algorithm opacity, small homogeneous samples, inconsistent sensor setups, and limited interpretability or clinical integration.ConclusionAI/ML tools show high accuracy and responsiveness for biomechanical monitoring, injury risk detection, and training adaptation. However, scalability remains hindered by technical, demographic, and practical barriers. Future studies must prioritize diverse populations, standardize sensor and data protocols, emphasize model explainability, and ensure deployment in real-world sports environments to close the gap between algorithmic performance and applied utility.Trial registrationCRD42021235527","2025-07-02","2025-09-29 14:51:01","2025-09-29 14:51:01","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7E66CQLZ","journalArticle","2025","Souaifi, Marouen; Dhahbi, Wissem; Jebabli, Nidhal; Ceylan, Halil Ibrahim; Boujabli, Manar; Muntean, Raul Ioan; Dergaa, Ismail","Artificial Intelligence in Sports Biomechanics: A Scoping Review on Wearable Technology, Motion Analysis, and Injury Prevention","BIOENGINEERING-BASEL","","","10.3390/bioengineering12080887","","Aim: This scoping review examines the application of artificial intelligence (AI) in sports biomechanics, with a focus on enhancing performance and preventing injuries. The review addresses key research questions, including primary AI methods, their effectiveness in improving athletic performance, their potential for injury prediction, sport-specific applications, strategies for translating knowledge, ethical considerations, and remaining research gaps. Following the PRISMA-ScR guidelines, a comprehensive literature search was conducted across five databases (PubMed/MEDLINE, Web of Science, IEEE Xplore, Scopus, and SPORTDiscus), encompassing studies published between January 2015 and December 2024. After screening 3248 articles, 73 studies met the inclusion criteria (Cohen's kappa = 0.84). Data were collected on AI techniques, biomechanical parameters, performance metrics, and implementation details. Results revealed a shift from traditional statistical models to advanced machine learning methods. Based on moderate-quality evidence from 12 studies, convolutional neural networks reached 94% agreement with international experts in technique assessment. Computer vision demonstrated accuracy within 15 mm compared to marker-based systems (6 studies, moderate quality). AI-driven training plans showed 25% accuracy improvements (4 studies, limited evidence). Random forest models predicted hamstring injuries with 85% accuracy (3 studies, moderate quality). Learning management systems enhanced knowledge transfer, raising coaches' understanding by 45% and athlete adherence by 3.4 times. Implementing integrated AI systems resulted in a 23% reduction in reinjury rates. However, significant challenges remain, including standardizing data, improving model interpretability, validating models in real-world settings, and integrating them into coaching routines. In summary, incorporating AI into sports biomechanics marks a groundbreaking advancement, providing analytical capabilities that surpass traditional techniques. Future research should focus on creating explainable AI, applying rigorous validation methods, handling data ethically, and ensuring equitable access to promote the widespread and responsible use of AI across all levels of competitive sports.","2025-08-20","2025-09-29 14:51:01","2025-09-29 14:51:01","","","","8","12","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"25UM4HK6","journalArticle","2025","Pietraszewski, Przemyslaw; Terbalyan, Artur; Roczniok, Robert; Maszczyk, Adam; Ornowski, Kajetan; Manilewska, Daria; Kulis, Szymon; Zajac, Adam; Golas, Artur","The Role of Artificial Intelligence in Sports Analytics: A Systematic Review and Meta-Analysis of Performance Trends","APPLIED SCIENCES-BASEL","","","10.3390/app15137254","","This systematic review and meta-analysis investigates the application of artificial intelligence (AI) in sports performance analysis. Sixteen peer-reviewed studies spanning 13 distinct sports disciplines were included, employing a variety of AI techniques-from classical machine learning algorithms to advanced deep learning and computer vision models. Methods applied encompassed Convolutional Neural Networks (CNNs), Long Short-Term Memory (LSTM) networks, reinforcement learning, and predictive modeling architectures. The pooled average classification accuracy was 87.78% (95% CI: 82.66-92.90), although substantial heterogeneity was observed across studies (I2 = 93.75%). Computer vision and deep learning-based approaches were associated with higher performance metrics in several studies, particularly in movement-intensive sports such as tennis and basketball. Nevertheless, several challenges were identified, including lack of standardization in model evaluation, limited algorithmic transparency, and difficulties in generalizing findings from controlled laboratory environments to real-world competitive settings. The results underscore the promising role of AI in optimizing training protocols, supporting tactical decisions, and enhancing injury prevention strategies. Further research is warranted to address the ethical, methodological, and practical considerations surrounding the deployment of AI in sports contexts.","2025-06-27","2025-09-29 14:51:01","2025-09-29 14:51:01","","","","13","15","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"NB4TS4RT","journalArticle","2021","Van Eetvelde, Hans; Mendonca, Luciana D.; Ley, Christophe; Seil, Romain; Tischer, Thomas","Machine learning methods in sport injury prediction and prevention: a systematic review","JOURNAL OF EXPERIMENTAL ORTHOPAEDICS","","","10.1186/s40634-021-00346-x","","Purpose Injuries are common in sports and can have significant physical, psychological and financial consequences. Machine learning (ML) methods could be used to improve injury prediction and allow proper approaches to injury prevention. The aim of our study was therefore to perform a systematic review of ML methods in sport injury prediction and prevention. Methods A search of the PubMed database was performed on March 24th 2020. Eligible articles included original studies investigating the role of ML for sport injury prediction and prevention. Two independent reviewers screened articles, assessed eligibility, risk of bias and extracted data. Methodological quality and risk of bias were determined by the Newcastle-Ottawa Scale. Study quality was evaluated using the GRADE working group methodology. Results Eleven out of 249 studies met inclusion/exclusion criteria. Different ML methods were used (tree-based ensemble methods (n = 9), Support Vector Machines (n = 4), Artificial Neural Networks (n = 2)). The classification methods were facilitated by preprocessing steps (n = 5) and optimized using over- and undersampling methods (n = 6), hyperparameter tuning (n = 4), feature selection (n = 3) and dimensionality reduction (n = 1). Injury predictive performance ranged from poor (Accuracy = 52%, AUC = 0.52) to strong (AUC = 0.87, f1-score = 85%). Conclusions Current ML methods can be used to identify athletes at high injury risk and be helpful to detect the most important injury risk factors. Methodological quality of the analyses was sufficient in general, but could be further improved. More effort should be put in the interpretation of the ML models.","2021-04-14","2025-09-29 14:51:01","2025-09-29 14:51:01","","","","1","8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8LSQ4MVR","journalArticle","2025","Mateus, Nuno; Abade, Eduardo; Coutinho, Diogo; Gomez, Miguel-angel; Penas, Carlos Lago; Sampaio, Jaime","Empowering the Sports Scientist with Artificial Intelligence in Training, Performance, and Health Management","SENSORS","","","10.3390/s25010139","","Artificial Intelligence (AI) is transforming the field of sports science by providing unprecedented insights and tools that enhance training, performance, and health management. This work examines how AI is advancing the role of sports scientists, particularly in team sports environments, by improving training load management, sports performance, and player well-being. It explores key dimensions such as load optimization, injury prevention and return-to-play, sports performance, talent identification and scouting, off-training behavior, sleep quality, and menstrual cycle management. Practical examples illustrate how AI applications have significantly advanced each area and how they support and enhance the effectiveness of sports scientists. This manuscript also underscores the importance of ensuring that AI technologies are context-specific and communicated transparently. Additionally, it calls for academic institutions to update their curriculums with AI-focused education, preparing future sports professionals to fully harness its potential. Finally, the manuscript addresses future challenges, such as the unpredictable nature of team sports, emphasizing the need for interdisciplinary collaboration, including clear communication and mutual understanding between sports scientists and AI experts, and the critical balance between AI-driven insights and human expertise.","2025-01","2025-09-29 14:51:01","2025-09-29 14:51:01","","","","1","25","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
