"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"HE98FVA4","journalArticle","2025","Hu, Yang; Li, Yaxing; Cui, Benlai; Su, Hao; Zhu, Pan","Internet of things enabled deep learning monitoring system for realtime performance metrics and athlete feedback in college sports","Scientific Reports","","","10.1038/s41598-025-13949-6","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105012520740&doi=10.1038%2Fs41598-025-13949-6&partnerID=40&md5=772b25eaa77a997ae03ee670ccb18a6e","This study presents an Internet of Things (IoT)-enabled Deep Learning Monitoring (IoT-E-DLM) model for real-time Athletic Performance (AP) tracking and feedback in collegiate sports. The proposed work integrates advanced wearable sensor technologies with a hybrid neural network combining Temporal Convolutional Networks, Bidirectional Long Short-Term Memory (TCN + BiLSTM) + Attention mechanisms. It is designed to overcome key challenges in processing heterogeneous, high-frequency sensor data and delivering low-latency, sport-specific feedback. The system deployed edge computing for real-time local processing and cloud setup for high-complexity analytics, achieving a balance between responsiveness and accuracy. Extensive research was tested with 147 student-athletes across numerous sports, including track and field, basketball, soccer, and swimming, over 12 months at Shangqiu University. The proposed model achieved a prediction accuracy of 93.45% with an average processing latency of 12.34 ms, outperforming conventional and state-of-the-art approaches. The system also demonstrated efficient resource usage (CPU: 68.34%, GPU: 72.56%), high data capture reliability (98.37%), and precise temporal synchronization. These results confirm the model’s effectiveness in enabling real-time performance monitoring and feedback delivery, establishing a robust groundwork for future developments in Artificial Intelligence (AI)-driven sports analytics. © 2025 Elsevier B.V., All rights reserved.","2025","2025-09-29 14:50:40","2025-09-29 14:53:40","","","","1","15","","","","","","","","","","","","","","","","","Type: Article","<p>Cited by: 0</p>; <p>Cited by: 0</p>","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BTJZGRLL","journalArticle","2025","Zhong, Yuhua","Enhancing game outcome prediction in the Chinese basketball league through a machine learning framework based on performance data","Scientific Reports","","","10.1038/s41598-025-08882-7","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105010155818&doi=10.1038%2Fs41598-025-08882-7&partnerID=40&md5=480c248b38241ce0de637869f8909bcb","Basketball remains among the most globally popular sports, with its various competitions drawing substantial attention. The analysis and modeling of basketball game data have long been central topics in sports analytics. In recent years, integrating machine learning techniques has facilitated significant advancements in predicting basketball game outcomes. However, most existing studies predominantly focus on NBA data, with relatively limited exploration of other leagues. To address this research gap, this study utilizes game data from the Chinese Basketball Association spanning the 2021–2024 seasons to develop predictive models. This research is the first to apply the classical Four Factors model and DefenseOfense model, along with their derivative versions (Four Factors detailed model and DefenseOfense detailed model), to the Chinese Men’s Professional Basketball League, providing a baseline for prediction. To ensure practical applicability of the models and enable their effective use in real-world scenarios, this study exclusively uses data available before the start of each game as feature variables for training. This approach ensures that the enhanced models can perform well in theoretical evaluations and provide reliable predictions when applied in practice. To evaluate model performance, a diverse set of machine learning algorithms, including support vector machines, Naive Bayes, k-nearest neighbors, logistic regression, multi-layer perceptron with contrastive loss, and XGBoost are employed, with metrics such as Accuracy, F1 Score, Recall, Precision, and AUROC used for comparison. The results reveal that the incorporation of additional features substantially enhances predictive performance. In particular, under the Logistic Regression framework, the newly developed model based on the Four Factors detailed achieves an accuracy of 85.49%, representing the highest predictive performance among all the evaluated approaches. © 2025 Elsevier B.V., All rights reserved.","2025","2025-09-29 14:50:40","2025-09-29 14:53:32","","","","1","15","","","","","","","","","","","","","","","","","Type: Article","<p>Cited by: 0; All Open Access; Gold Open Access; Green Accepted Open Access; Green Open Access</p>; <p>Cited by: 0; All Open Access; Gold Open Access; Green Accepted Open Access; Green Open Access</p>","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"64NEVX3X","journalArticle","2025","Jianjun, Qin; Isleem, Haytham F.; Almoghayer, Walaa J.K.; Khishe, Mohammad","Predictive athlete performance modeling with machine learning and biometric data integration","Scientific Reports","","","10.1038/s41598-025-01438-9","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105004685126&doi=10.1038%2Fs41598-025-01438-9&partnerID=40&md5=540439d18f42114750b7003edf5c2b46","The Purpose of this study is to propose a new integrative framework for athletic performance prediction based on state-of-the-art machine learning analysis and biometric data biometric scanning. By merging physiological signals i.e., Heart rate variability, oxygen consumption, muscle activation patterns, with psychological signals i.e., mental toughness, athlete engagement, group cohesion along with contextual training data, we create a hybrid model that performs superiorly as compared to traditional unidimensional models. Our exercisers were trained using a gradient boosting and neural network to learn the very complex non-linear relationships that exist between the physical and the psychological performance drivers. With a rich sample set of 480 athletes from different sports, the proposed model achieved 90% accuracy (R<sup>2</sup> = 0.90) in predicting performance outcomes and outdid the conventional methods with statistical approaches R<sup>2</sup> = 0.77) and machine learning based methods (R<sup>2</sup> = 0.77) And machine whiz methods. The robust results achieved from the model (over 90%) as compared to conventional nor statistical methods. From the analysis of the features’ importance, the strongest predictor of performance are the Provided Dedicated Athletes’ scores of the Functional Movement Screening (13.7%), athlete dedication (11.5%), maximum acceleration capabilities (10.2%), which verify the relationship along biomechanical, preconceived explosive power and psychological commitment. This reflects the finding whereby deep categorized athletic talent prediction requires a multi-dimensional approach by sophisticated fusion techniques. The framework is useful to coaches and sports scientists because it allows for the individualized design of injury risk mitigation and physiologically and psychologically-focused interpersonal help. This approach integrates multiple factors and constitutes an important progress in sports analytics by providing a comprehensive perspective on the complex realities which influence elite athletic performance. © 2025 Elsevier B.V., All rights reserved.","2025","2025-09-29 14:50:40","2025-09-29 14:53:55","","","","1","15","","","","","","","","","","","","","","","","","Type: Article","<p>Cited by: 0; All Open Access; Gold Open Access; Green Accepted Open Access; Green Open Access</p>; <p>Cited by: 0; All Open Access; Gold Open Access; Green Accepted Open Access; Green Open Access</p>","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"K6CG2LFY","journalArticle","2025","Liftawi, Sana M.; Yousef, Iyad A.; Kaied, Mahmoud W.","An Accurate Classification for Human Sport Activity Recognition from Sensor Data Using Hybrid Machine Learning Models","Journal of Advanced Research in Applied Sciences and Engineering Technology","","","10.37934/araset.52.1.6888","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85207269576&doi=10.37934%2Faraset.52.1.6888&partnerID=40&md5=177b2fabe45b6b5f3c95570c6effa492","The significance of human sports activities recognition (HSAR) in many computing applications, including sports analytics, smart surroundings, and healthcare monitoring is huge. The current use of vision sensors for HSAR is a difficult task due to the intricate movements involved in sports and fitness workouts, as well as fluctuations in illumination conditions. Therefore, a comprehensive review of machine learning algorithms (such as XGBoost, Random Forest (RF), Decision Trees (DT), and K-Nearest Neighbors (KNN)) and their usage for human sports activities classification based on sensor data called ML-HSAR is presented in this article. A dataset containing 19 different human activities gathered from 8 different people through different types of sensors was used for this work; the dataset contains activities like sitting and standing, as well as other activities that require serious movements, such as running, cycling, and playing basketball. This study primarily aims to determine the performance of the considered ML models in accurately classifying these activities found in the dataset. The training of the algorithms and the subsequent evaluation were done on the segmented sensor data, effectively leveraging the dataset’s temporal aspect. In addition to the presented results for each of these algorithms, the limitations of each algorithm and their strengths in handling the complexities involved in HSAR were also presented. The contribution of this analysis is towards the understanding of the most appropriate ML models for HSAR tasks; it also offers valuable insights for future research and practical applications. © 2024 Elsevier B.V., All rights reserved.","2025","2025-09-29 14:50:40","2025-09-29 14:53:11","","68 - 88","","1","52","","","","","","","","","","","","","","","","","Type: Article","<p>Cited by: 2</p>; <p>Cited by: 2</p>","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"EX6AP6AY","journalArticle","2025","Caruso, Marco; Cimmino, Lucia; Narducci, Fabio; Pero, Chiara; Ronga, Gianluca","Advancements in basketball action recognition: Datasets, methods, explainability, and synthetic data applications","Image and Vision Computing","","","10.1016/j.imavis.2025.105689","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105012934994&doi=10.1016%2Fj.imavis.2025.105689&partnerID=40&md5=0f22ce5619d1945601c35bcad15f4d28","Basketball Action Recognition (BAR) has received increasing attention in the fields of computer vision and artificial intelligence, serving as a fundamental component in performance evaluation, automated game annotation, tactical analysis, and referee decision-making support. Despite notable advancements driven by deep learning approaches, BAR remains a challenging task due to the inherent complexity of basketball movements, frequent occlusions, and limited availability of standardized benchmark datasets. This survey provides a comprehensive and structured synthesis of current developments in BAR research, encompassing four principal dimensions: dataset curation, computational methodologies, synthetic data generation, and model explainability. A critical analysis of publicly available basketball-specific datasets is presented, delineating their modalities, annotation strategies, action taxonomies, and representational scope. Furthermore, the survey offers a structured classification of state-of-the-art action recognition methodologies, ranging from video-based and skeleton-based models to sensor-driven and multimodal fusion approaches, emphasizing architectural characteristics, evaluation protocols, and task-specific adaptations. The role of synthetic data is systematically examined as a means to address data scarcity, reduce annotation noise, and enhance model generalization through controlled variability and simulation-based augmentation. In parallel, the integration of explainable artificial intelligence (XAI) techniques is also analyzed, with a focus on post-hoc attribution methods, probabilistic reasoning models, and interpretable neural architectures, aimed at improving the transparency and accountability of decision-making processes. The survey identifies persisting research challenges, including dataset heterogeneity, limitations in cross-domain transferability, and the accuracy-interpretability trade-off in deep models. By delineating current limitations and prospective directions, this work provides a foundational reference to guide the development of robust, generalizable, and explainable BAR systems for deployment in real-world sports intelligence applications. © 2025 Elsevier B.V., All rights reserved.","2025","2025-09-29 14:50:40","2025-09-29 14:52:54","","","","","162","","","","","","","","","","","","","","","","","Type: Article","<p>Cited by: 0</p>; <p>Cited by: 0</p>","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"R8BYWU7V","journalArticle","2025","Papageorgiou, George; Sarlis, Vangelis; Tjortjis, Christos","An innovative method for accurate NBA player performance forecasting and line-up optimization in daily fantasy sports","International Journal of Data Science and Analytics","","","10.1007/s41060-024-00523-y","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85188122944&doi=10.1007%2Fs41060-024-00523-y&partnerID=40&md5=e50f2aae6de5343d3894a7e3d370b109","This study presents a novel approach for predicting NBA players' performance in Fantasy Points (FP) by developing individualized models for 203 players, using advanced basketball metrics from season 2011–2012 up to season 2020–2021 from reliable sources. A two-step evaluation and validation process secured validity, while applying linear optimization methodology, considering constraints such as salary and player position to recommend an eight-player line-up for Daily Fantasy Sports (DFS). Four scenarios with 14 machine learning models and meta-models with a blending approach with an ensembling methodology were evaluated. Using individual per-player modeling, standard and advanced features, and different timespans resulted in accurate, well-established, and well-generalized predictions. Standard features improved MAPE results by 1.7–1.9% in the evaluation and 0.2–2.1% in the validation set. Additionally, two model selection cases were developed, with average scoring MAPEs of 28.90% and 29.50% and MAEs of 7.33 and 7.74 for validation sets. The most effective models included Voting Meta-Model, Random Forest, Bayesian Ridge, AdaBoost, and Elastic Net. The research demonstrated practical application using predictions in a real-life DFS case evaluated in a DFS tournament on a specific match day. Among 11,764 real users, our Daily Line-up Optimizer ranked in the top 18.4%, and profitable line-ups reached the top 23.5%. This unique approach proves the proposed methodology's effectiveness and emphasizes its profitability, as the optimizer process delivers positive results. © 2025 Elsevier B.V., All rights reserved.","2025","2025-09-29 14:50:40","2025-09-29 14:53:17","","1215 - 1238","","2","20","","","","","","","","","","","","","","","","","Type: Article","<p>Cited by: 3; All Open Access; Hybrid Gold Open Access</p>; <p>Cited by: 3; All Open Access; Hybrid Gold Open Access</p>","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"U28BI4MB","journalArticle","2025","Yeung, Calvin C.K.; Ide, Kenjiro; Someya, Taiga; Fujii, Keisuke","OpenSTARLab: open approach for spatio-temporal agent data analysis in soccer","Complex and Intelligent Systems","","","10.1007/s40747-025-01965-y","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105008248118&doi=10.1007%2Fs40747-025-01965-y&partnerID=40&md5=a01445c395b0fa046f2e25f6fbbc038e","Sports analytics has become both more professional and sophisticated, driven by the growing availability of detailed performance data. This progress enables applications such as match outcome prediction, player scouting, and tactical analysis. In soccer, the effective utilization of event and tracking data is fundamental for capturing and analyzing the dynamics of the game. However, there are two primary challenges: the limited availability of event data primarily restricted to top-tier teams and leagues, and the scarcity and high cost of tracking data, which complicates its integration with event data for comprehensive analysis. Here we propose OpenSTARLab (Open Spatio-Temporal Agent Research Lab), an open-source framework designed to democratize spatio-temporal agent data analysis in sports by addressing these key challenges. OpenSTARLab includes the Pre-processing Package that standardizes event and tracking data through Unified and Integrated Event Data and State-Action-Reward formats, the Event Modeling Package that implements deep learning-based event prediction, alongside the RLearn Package for reinforcement learning tasks. These technical components facilitate the handling of diverse data sources and support advanced analytical tasks, thereby enhancing the overall functionality and usability of the framework. To assess OpenSTARLab’s effectiveness, we conducted several experimental evaluations. These demonstrate the superior performance of the specific event prediction model in terms of action and time prediction accuracies and maintained its robust event simulation performance. Furthermore, reinforcement learning experiments reveal a trade-off between action accuracy and temporal difference loss and show comprehensive visualization. Overall, OpenSTARLab serves as a robust platform for researchers and practitioners, enhancing innovation and collaboration in the field of soccer data analytics. © 2025 Elsevier B.V., All rights reserved.","2025","2025-09-29 14:50:40","2025-09-29 14:53:48","","","","8","11","","","","","","","","","","","","","","","","","Type: Article","<p>Cited by: 0; All Open Access; Hybrid Gold Open Access</p>; <p>Cited by: 0; All Open Access; Hybrid Gold Open Access</p>","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"DFSL253Q","journalArticle","2025","Xu, Liyuan; Zeng, Hongtao","Visual analysis of sports multi-target trajectory based on hybrid motion tracking algorithm","","","","10.1145/3744464.3744476","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105013621867&doi=10.1145%2F3744464.3744476&partnerID=40&md5=798143369a83e934f33de588809b4b59","The complexity of multi-target motion tracking in sports poses significant challenges due to frequent occlusion, rapid movement changes, and high interaction dynamics. To address these issues, this study proposes a hybrid motion tracking algorithm that integrates optical flow-guided particle filtering (OF-PF), a lightweight graph attention network (LGAT), and a biomechanical graph propagation network (BGPN) to enhance trajectory accuracy and tactical reasoning. The proposed framework was evaluated on the 1st and Future - Player Contact Detection dataset, achieving 92.4% tracking accuracy and reducing the ID switch rate to 2.1%, outperforming conventional methods. The results demonstrate the model's effectiveness in improving athlete movement prediction, tactical pattern recognition, and contact event reasoning. This research provides a novel visual analysis approach for automated sports analytics, enabling real-time tracking and decision support in competitive environments. © 2025 Elsevier B.V., All rights reserved.","2025","2025-09-29 14:50:40","2025-09-29 14:54:07","","66 - 71","","","","","","","","","","","","","","","","","","","","Type: Conference paper","<p>Cited by: 0</p>; <p>Cited by: 0</p>","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"FD5UI2QE","journalArticle","2025","Wu, Yijian; Chen, Zewen; Zhang, Hongxing; Yang, Yulin; Yi, Weichao","Enhanced Pose Estimation for Badminton Players via Improved YOLOv8-Pose with Efficient Local Attention","Sensors","","","10.3390/s25144446","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105011870922&doi=10.3390%2Fs25144446&partnerID=40&md5=b79ee08ec0db85ef1ded1eaf501294e8","With the rapid development of sports analytics and artificial intelligence, accurate human pose estimation in badminton is becoming increasingly important. However, challenges such as the lack of domain-specific datasets and the complexity of athletes’ movements continue to hinder progress in this area. To address these issues, we propose an enhanced pose estimation framework tailored to badminton players, built upon an improved YOLOv8-Pose architecture. In particular, we introduce an efficient local attention (ELA) mechanism that effectively captures fine-grained spatial dependencies and contextual information, thereby significantly improving the keypoint localization accuracy and overall pose estimation performance. To support this study, we construct a dedicated badminton pose dataset comprising 4000 manually annotated samples, captured using a Microsoft Kinect v2 camera. The raw data undergo careful processing and refinement through a combination of depth-assisted annotation and visual inspection to ensure high-quality ground truth keypoints. Furthermore, we conduct an in-depth comparative analysis of multiple attention modules and their integration strategies within the network, offering generalizable insights to enhance pose estimation models in other sports domains. The experimental results show that the proposed ELA-enhanced YOLOv8-Pose model consistently achieves superior accuracy across multiple evaluation metrics, including the mean squared error (MSE), object keypoint similarity (OKS), and percentage of correct keypoints (PCK), highlighting its effectiveness and potential for broader applications in sports vision tasks. © 2025 Elsevier B.V., All rights reserved.","2025","2025-09-29 14:50:40","2025-09-29 14:53:31","","","","14","25","","","","","","","","","","","","","","","","","Type: Article","<p>Cited by: 0</p>; <p>Cited by: 0</p>","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"J5SVAI78","journalArticle","2025","Malikov, Davronbek; Jung, Pilsu; Kim, Jaeho","Predicting Soccer Player Salaries with Both Traditional and Automated Machine Learning Approaches","Applied Sciences (Switzerland)","","","10.3390/app15148108","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105011852258&doi=10.3390%2Fapp15148108&partnerID=40&md5=7ea9a4e6cb968cfc2c92cd3013f76f3a","Soccer’s global popularity as the world’s favorite sport is driven by many factors, with high player salaries being one of the key reasons behind its appeal. These salaries not only reflect on-field performance, but also capture a broader evaluation of player value. Despite the increasing use of performance data in sports analytics, a critical gap remains in establishing fair compensation models that comprehensively account for both quantifiable and intangible contributions. To address these challenges, this study adopts machine learning (ML) techniques that model player salaries based on a combination of performance metrics and contextual features. This research focuses on reducing bias and improving transparency in salary decisions through a systematic, data-driven approach. Utilizing a dataset spanning the 2016–2022 seasons, we apply both traditional and automated ML frameworks to uncover the most influential factors in salary determination. The results indicate a nearly 17% improvement in R<sup>2</sup> and about a 30% reduction in MAE after incorporating the newly constructed features and methods, demonstrating a significant enhancement in model performance. Gradient Boosting demonstrates superior effectiveness, revealing a group of significantly underestimated and overestimated players, and showcasing the model’s proficiency in detecting valuation discrepancies. © 2025 Elsevier B.V., All rights reserved.","2025","2025-09-29 14:50:40","2025-09-29 14:53:54","","","","14","15","","","","","","","","","","","","","","","","","Type: Article","<p>Cited by: 0; All Open Access; Gold Open Access</p>; <p>Cited by: 0; All Open Access; Gold Open Access</p>","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
