"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","Cited by","DOI","Link","Abstract","Document Type","Publication Stage","Open Access","Source","EID"
"Y., Wei, Yuyang; J., Oldroyd, Jeremy; P., Haste, Phoebe; J., Jayamohan, Jayaratnam; M.D., Jones, Michael David; N., Casey, Nicholas; J.M.S., Peña, José María S.; S., Baylis, Sonya; S., Gilmour, Stan; A., Jérusalem, Antoine","Wei, Yuyang (57210416814); Oldroyd, Jeremy (59660941500); Haste, Phoebe (58669202100); Jayamohan, Jayaratnam (24478767800); Jones, Michael David (55491028600); Casey, Nicholas (59660526600); Peña, José María S. (35372602900); Baylis, Sonya (55043297300); Gilmour, Stan (57206230072); Jérusalem, Antoine (16230095300)","57210416814; 59660941500; 58669202100; 24478767800; 55491028600; 59660526600; 35372602900; 55043297300; 57206230072; 16230095300","A mechanics-informed machine learning framework for traumatic brain injury prediction in police and forensic investigations","2025","Communications Engineering","4","1","29","","","0","2","10.1038/s44172-025-00352-2","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85219203109&doi=10.1038%2Fs44172-025-00352-2&partnerID=40&md5=0d45f5be93ea545699463c05fb423b46","Police forensic investigations are not immune to our society’s ubiquitous search for better predictive ability. In the particular and very topical case of Traumatic Brain Injury (TBI), police forensic investigations aim at evaluating whether a given impact or assault scenario led to the clinically observed TBI. This question is traditionally answered by means of forensic biomechanics and neurosurgical expertise which cannot provide a fully objective probabilistic measure. To this end, we propose here a numerical framework-based solution coupling biomechanical simulations of a variety of injurious impacts to machine learning training of police reports provided by the UK’s Thames Valley Police and the National Crime Agency’s National Injury Database. In this approach, the biomechanical predictions of mechanical metrics such as strain and stress distributions are interpreted by the machine learning model by additionally considering assault specific metadata to predict brain injury outcomes. The framework, only taking as input information typically available in police reports, reaches prediction accuracies exceeding 94% for skull fracture, 79% for loss of consciousness and intracranial haemorrhage, and is able to identify the best predictive features for each targeted injury. Overall, the proposed framework offers new avenues for the prediction, directly from police reports, of any TBI related symptom as required by forensic law enforcement investigations. © 2025 Elsevier B.V., All rights reserved.","Article","Final","All Open Access; Gold Open Access; Green Accepted Open Access; Green Open Access","Scopus","2-s2.0-85219203109"
"S., Wei, Senhao; H., Zhang, Hua; H., Li, Hao; C., Li, Chao; Z., Shen, Ziyuan; Y., Yin, Yiyuan; Z., Cong, Zhukai; Z., Zeng, Zhaojin; Q., Ge, Qinggang; D., Li, Dongfeng","Wei, Senhao (58945821100); Zhang, Hua (56924736700); Li, Hao (59513068900); Li, Chao (57729545300); Shen, Ziyuan (57746713200); Yin, Yiyuan (58946691800); Cong, Zhukai (57202385479); Zeng, Zhaojin (58070866400); Ge, Qinggang (13105906500); Li, Dongfeng (59134616400)","58945821100; 56924736700; 59513068900; 57729545300; 57746713200; 58946691800; 57202385479; 58070866400; 13105906500; 59134616400","Establishment and validation of predictive model of ARDS in critically ill patients","2025","Journal of Translational Medicine","23","1","64","","","0","4","10.1186/s12967-024-06054-1","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85215558049&doi=10.1186%2Fs12967-024-06054-1&partnerID=40&md5=f7b7dc3208b058fc526b1e426c9104f6","Background: Acute respiratory distress syndrome (ARDS) is a prevalent complication among critically ill patients, constituting around 10% of intensive care unit (ICU) admissions and mortality rates ranging from 35 to 46%. Hence, early recognition and prediction of ARDS are crucial for the timely administration of targeted treatment. However, ARDS is frequently underdiagnosed or delayed, and its heterogeneity diminishes the clinical utility of ARDS biomarkers. This study aimed to observe the incidence of ARDS among high-risk patients and develop and validate an ARDS prediction model using machine learning (ML) techniques based on clinical parameters. Methods: This prospective cohort study in China was conducted on critically ill patients to derivate and validate the prediction model. The derivation cohort, consisting of 400 patients admitted to the ICU of the Peking University Third Hospital(PUTH) between December 2020 and August 2023, was separated for training and internal validation, and an external data set of 160 patients at the FU YANG People's Hospital from August 2022 to August 2023 was employed for external validation. Least absolute shrinkage and selection operator (LASSO) and multivariate logistic regression were used to screen predictor variables. Multiple ML classification models were integrated to analyze and identify the best models. Several evaluation indexes were used to compare the model performance, including the area under the receiver-operating-characteristic curve (AUC) and decision curve analysis (DCA). SHapley Additive ex Planations (SHAP) is used to interpret ML models. Results: 400 critically ill patients were included in the analysis, with 117 developing ARDS during follow-up. The final model included gender, Lung Injury Prediction Score (LIPS), Hepatic Disease, Shock, and combined Lung Contusion. Based on the AUC and DCA in the validation group, the logistic model demonstrated excellent performance, achieving an AUC of 0.836 (95% CI: 0.762–0.910). For external validation, comprising 160 patients, 44 of whom developed ARDS, the AUC was 0.799 (95% CI: 0.723–0.875), significantly outperforming the LIPS score alone. Conclusion: Combining the LIPS score with other clinical parameters in a logistic regression model provides a more accurate, clinically applicable, and user-friendly ARDS prediction tool than the LIPS score alone. © 2025 Elsevier B.V., All rights reserved.","Article","Final","All Open Access; Gold Open Access; Green Accepted Open Access; Green Open Access","Scopus","2-s2.0-85215558049"
"Y., Hu, Yang; Y., Li, Yaxing; B., Cui, Benlai; H., Su, Hao; P., Zhu, Pan","Hu, Yang (60029251500); Li, Yaxing (57755460900); Cui, Benlai (59412737700); Su, Hao (60029329900); Zhu, Pan (60028781400)","60029251500; 57755460900; 59412737700; 60029329900; 60028781400","Internet of things enabled deep learning monitoring system for realtime performance metrics and athlete feedback in college sports","2025","Scientific Reports","15","1","28405","","","0","0","10.1038/s41598-025-13949-6","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105012520740&doi=10.1038%2Fs41598-025-13949-6&partnerID=40&md5=772b25eaa77a997ae03ee670ccb18a6e","This study presents an Internet of Things (IoT)-enabled Deep Learning Monitoring (IoT-E-DLM) model for real-time Athletic Performance (AP) tracking and feedback in collegiate sports. The proposed work integrates advanced wearable sensor technologies with a hybrid neural network combining Temporal Convolutional Networks, Bidirectional Long Short-Term Memory (TCN + BiLSTM) + Attention mechanisms. It is designed to overcome key challenges in processing heterogeneous, high-frequency sensor data and delivering low-latency, sport-specific feedback. The system deployed edge computing for real-time local processing and cloud setup for high-complexity analytics, achieving a balance between responsiveness and accuracy. Extensive research was tested with 147 student-athletes across numerous sports, including track and field, basketball, soccer, and swimming, over 12 months at Shangqiu University. The proposed model achieved a prediction accuracy of 93.45% with an average processing latency of 12.34 ms, outperforming conventional and state-of-the-art approaches. The system also demonstrated efficient resource usage (CPU: 68.34%, GPU: 72.56%), high data capture reliability (98.37%), and precise temporal synchronization. These results confirm the model’s effectiveness in enabling real-time performance monitoring and feedback delivery, establishing a robust groundwork for future developments in Artificial Intelligence (AI)-driven sports analytics. © 2025 Elsevier B.V., All rights reserved.","Article","Final","","Scopus","2-s2.0-105012520740"
"Y., Zhong, Yuhua","Zhong, Yuhua (59741842800)","59741842800","Enhancing game outcome prediction in the Chinese basketball league through a machine learning framework based on performance data","2025","Scientific Reports","15","1","23788","","","0","0","10.1038/s41598-025-08882-7","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105010155818&doi=10.1038%2Fs41598-025-08882-7&partnerID=40&md5=480c248b38241ce0de637869f8909bcb","Basketball remains among the most globally popular sports, with its various competitions drawing substantial attention. The analysis and modeling of basketball game data have long been central topics in sports analytics. In recent years, integrating machine learning techniques has facilitated significant advancements in predicting basketball game outcomes. However, most existing studies predominantly focus on NBA data, with relatively limited exploration of other leagues. To address this research gap, this study utilizes game data from the Chinese Basketball Association spanning the 2021–2024 seasons to develop predictive models. This research is the first to apply the classical Four Factors model and DefenseOfense model, along with their derivative versions (Four Factors detailed model and DefenseOfense detailed model), to the Chinese Men’s Professional Basketball League, providing a baseline for prediction. To ensure practical applicability of the models and enable their effective use in real-world scenarios, this study exclusively uses data available before the start of each game as feature variables for training. This approach ensures that the enhanced models can perform well in theoretical evaluations and provide reliable predictions when applied in practice. To evaluate model performance, a diverse set of machine learning algorithms, including support vector machines, Naive Bayes, k-nearest neighbors, logistic regression, multi-layer perceptron with contrastive loss, and XGBoost are employed, with metrics such as Accuracy, F1 Score, Recall, Precision, and AUROC used for comparison. The results reveal that the incorporation of additional features substantially enhances predictive performance. In particular, under the Logistic Regression framework, the newly developed model based on the Four Factors detailed achieves an accuracy of 85.49%, representing the highest predictive performance among all the evaluated approaches. © 2025 Elsevier B.V., All rights reserved.","Article","Final","All Open Access; Gold Open Access; Green Accepted Open Access; Green Open Access","Scopus","2-s2.0-105010155818"
"Q., Jianjun, Qin; H.F., Isleem, Haytham F.; W.J.K., Almoghayer, Walaa J.K.; M., Khishe, Mohammad","Jianjun, Qin (59811381900); Isleem, Haytham F. (57197713101); Almoghayer, Walaa J.K. (59648087300); Khishe, Mohammad (57192100593)","59811381900; 57197713101; 59648087300; 57192100593","Predictive athlete performance modeling with machine learning and biometric data integration","2025","Scientific Reports","15","1","16365","","","0","0","10.1038/s41598-025-01438-9","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105004685126&doi=10.1038%2Fs41598-025-01438-9&partnerID=40&md5=540439d18f42114750b7003edf5c2b46","The Purpose of this study is to propose a new integrative framework for athletic performance prediction based on state-of-the-art machine learning analysis and biometric data biometric scanning. By merging physiological signals i.e., Heart rate variability, oxygen consumption, muscle activation patterns, with psychological signals i.e., mental toughness, athlete engagement, group cohesion along with contextual training data, we create a hybrid model that performs superiorly as compared to traditional unidimensional models. Our exercisers were trained using a gradient boosting and neural network to learn the very complex non-linear relationships that exist between the physical and the psychological performance drivers. With a rich sample set of 480 athletes from different sports, the proposed model achieved 90% accuracy (R2 = 0.90) in predicting performance outcomes and outdid the conventional methods with statistical approaches R2 = 0.77) and machine learning based methods (R2 = 0.77) And machine whiz methods. The robust results achieved from the model (over 90%) as compared to conventional nor statistical methods. From the analysis of the features’ importance, the strongest predictor of performance are the Provided Dedicated Athletes’ scores of the Functional Movement Screening (13.7%), athlete dedication (11.5%), maximum acceleration capabilities (10.2%), which verify the relationship along biomechanical, preconceived explosive power and psychological commitment. This reflects the finding whereby deep categorized athletic talent prediction requires a multi-dimensional approach by sophisticated fusion techniques. The framework is useful to coaches and sports scientists because it allows for the individualized design of injury risk mitigation and physiologically and psychologically-focused interpersonal help. This approach integrates multiple factors and constitutes an important progress in sports analytics by providing a comprehensive perspective on the complex realities which influence elite athletic performance. © 2025 Elsevier B.V., All rights reserved.","Article","Final","All Open Access; Gold Open Access; Green Accepted Open Access; Green Open Access","Scopus","2-s2.0-105004685126"
"B., Kang, Bosuk; M., Park, Minsu; A.P., del Pobil, Angel P.; E., Park, Eunil","Kang, Bosuk (59739055900); Park, Minsu (57991590200); del Pobil, Angel P. (7004107850); Park, Eunil (36806600800)","59739055900; 57991590200; 7004107850; 36806600800","Data-driven approaches for predicting Tommy John Surgery risk in major league baseball pitchers","2025","Journal of Big Data","12","1","87","","","0","2","10.1186/s40537-025-01138-1","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105002800559&doi=10.1186%2Fs40537-025-01138-1&partnerID=40&md5=6082ed4ebb05bceca742408bdb457703","Injury management is critical in all sports, directly impacting player performance. Baseball players are particularly susceptible to injuries, as players often compete in 5 to 7 games per week, placing continuous strain on their bodies. Among various injuries, Tommy John Surgery (TJS) poses a notable risk for Major League Baseball (MLB) pitchers. Traditional TJS prediction methods required sensors or video-based motion capture, which are impractical during actual games and limited in making predictions too close to the injuries, such as within 30 pitches. To address these challenges, this study proposes a deep learning (DL) framework that utilizes both classification and regression tasks. Using MLB pitching data (2016–2023), the classification model detects injury risk up to 100 days in advance with a high prediction performance of 0.73 F1-score, while the regression model estimates the time remaining until the player’s last pre-surgery game with R2 of 0.79. In addition, to enhance our model’s applicability, we employ an explainable artificial intelligence technique to analyze the impacting mechanical features, such as a lowered four-seam fastball release point, that accelerate UCL deterioration, increasing TJS risk. These findings provide a practical foundation for early intervention strategies, potentially preserving pitcher health and reducing the need for complex surgical procedures. © 2025 Elsevier B.V., All rights reserved.","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-105002800559"
"Y., Wang, Yi; J., Lei, Jing; Z., Jin, Zhiping; Y., Jiang, Ying; N., Zhang, Ningping; M., Lv, Minzhi; T., Liu, Tianshu","Wang, Yi (59978833000); Lei, Jing (59979116700); Jin, Zhiping (57210936801); Jiang, Ying (59979116800); Zhang, Ningping (36248083400); Lv, Minzhi (56167987900); Liu, Tianshu (56148429600)","59978833000; 59979116700; 57210936801; 59979116800; 36248083400; 56167987900; 56148429600","Development and validation of a machine learning-based clinical prediction model for monitoring liver injury in patients with pan-cancer receiving immunotherapy","2025","International Journal of Medical Informatics","203","","106036","","","0","0","10.1016/j.ijmedinf.2025.106036","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105009899417&doi=10.1016%2Fj.ijmedinf.2025.106036&partnerID=40&md5=30295f626189719adf2c6bb34146ced4","Background: Immune checkpoint inhibitor (ICI)-related liver injury poses a considerable clinical challenge for cancer patients. This study aimed to develop and validate an interpretable predictive model employing machine learning (ML) algorithms to accurately identify patients at high risk of acute liver injury within one month of initiating ICI treatment. Methods: This longitudinal cohort study included pan-cancer patients who received their first ICI treatment between March 2019 and September 2022 at Zhongshan Hospital. Six ML algorithms, namely neural networks (NN), gradient boosting classifier (GBC), eXtreme gradient boosting (XGBoost), logistic regression (LR), categorical boosting classifier (CatBoost) and random forest (RF), were utilized to construct predictive models for acute ICI-related liver injury. Model performance was evaluated using the area under the receiver operating characteristic curve (AUC), accuracy, sensitivity, specificity, positive predictive value (PPV), negative predictive value (NPV) and brier score (BS). The SHapley Additive exPlanations (SHAP) method was applied to rank the feature importance and interpret the final model, providing insights into the contribution of each feature to liver injury prediction, thereby enhancing clinical interpretability. This study is registered with the Chinese Clinical Trial Registry (ChiCTR2300067470). Results: A total of 863 patients were enrolled in the study, with 22.71% experiencing liver injury within one month of ICI initiation. Among the six preliminary models, the RF model exhibited the best performance and was selected for the development of the final model. The SHAP method was utilized to rank variables from the six pre-models, with 10 variables selected for the final model by identifying the intersection of the top 20 most important variables across these models. The final RF model exhibited robust performance, achieving an AUC of 0.81 (95% CI: 0.73–0.90) on the test set, and 0.79 (95% CI: 0.72–0.88) and 0.80 (95% CI: 0.72–0.89) in the 5-fold and 10-fold cross-validation, respectively. The Decision Curve Analysis (DCA) curve illustrated solid clinical benefit, and the calibration curve reflected good predictive consistency. Conclusion: An interpretable RF model was developed to predict acute liver injury occurring within one month after ICI treatment. This clinical-friendly model enables early identification of high-risk patients, facilitating optimized clinical management and ultimately improving treatment outcomes. © 2025 Elsevier B.V., All rights reserved.","Article","Final","","Scopus","2-s2.0-105009899417"
"S.M., Liftawi, Sana M.; I.A., Yousef, Iyad A.; M.W., Kaied, Mahmoud W.","Liftawi, Sana M. (57749509300); Yousef, Iyad A. (57221132514); Kaied, Mahmoud W. (59380862400)","57749509300; 57221132514; 59380862400","An Accurate Classification for Human Sport Activity Recognition from Sensor Data Using Hybrid Machine Learning Models","2025","Journal of Advanced Research in Applied Sciences and Engineering Technology","52","1","","68","88","0","2","10.37934/araset.52.1.6888","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85207269576&doi=10.37934%2Faraset.52.1.6888&partnerID=40&md5=177b2fabe45b6b5f3c95570c6effa492","The significance of human sports activities recognition (HSAR) in many computing applications, including sports analytics, smart surroundings, and healthcare monitoring is huge. The current use of vision sensors for HSAR is a difficult task due to the intricate movements involved in sports and fitness workouts, as well as fluctuations in illumination conditions. Therefore, a comprehensive review of machine learning algorithms (such as XGBoost, Random Forest (RF), Decision Trees (DT), and K-Nearest Neighbors (KNN)) and their usage for human sports activities classification based on sensor data called ML-HSAR is presented in this article. A dataset containing 19 different human activities gathered from 8 different people through different types of sensors was used for this work; the dataset contains activities like sitting and standing, as well as other activities that require serious movements, such as running, cycling, and playing basketball. This study primarily aims to determine the performance of the considered ML models in accurately classifying these activities found in the dataset. The training of the algorithms and the subsequent evaluation were done on the segmented sensor data, effectively leveraging the dataset’s temporal aspect. In addition to the presented results for each of these algorithms, the limitations of each algorithm and their strengths in handling the complexities involved in HSAR were also presented. The contribution of this analysis is towards the understanding of the most appropriate ML models for HSAR tasks; it also offers valuable insights for future research and practical applications. © 2024 Elsevier B.V., All rights reserved.","Article","Final","","Scopus","2-s2.0-85207269576"
"M., Caruso, Marco; L., Cimmino, Lucia; F., Narducci, Fabio; C., Pero, Chiara; G., Ronga, Gianluca","Caruso, Marco (59703736800); Cimmino, Lucia (57220807983); Narducci, Fabio (55303744900); Pero, Chiara (57212312420); Ronga, Gianluca (59702958000)","59703736800; 57220807983; 55303744900; 57212312420; 59702958000","Advancements in basketball action recognition: Datasets, methods, explainability, and synthetic data applications","2025","Image and Vision Computing","162","","105689","","","0","0","10.1016/j.imavis.2025.105689","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105012934994&doi=10.1016%2Fj.imavis.2025.105689&partnerID=40&md5=0f22ce5619d1945601c35bcad15f4d28","Basketball Action Recognition (BAR) has received increasing attention in the fields of computer vision and artificial intelligence, serving as a fundamental component in performance evaluation, automated game annotation, tactical analysis, and referee decision-making support. Despite notable advancements driven by deep learning approaches, BAR remains a challenging task due to the inherent complexity of basketball movements, frequent occlusions, and limited availability of standardized benchmark datasets. This survey provides a comprehensive and structured synthesis of current developments in BAR research, encompassing four principal dimensions: dataset curation, computational methodologies, synthetic data generation, and model explainability. A critical analysis of publicly available basketball-specific datasets is presented, delineating their modalities, annotation strategies, action taxonomies, and representational scope. Furthermore, the survey offers a structured classification of state-of-the-art action recognition methodologies, ranging from video-based and skeleton-based models to sensor-driven and multimodal fusion approaches, emphasizing architectural characteristics, evaluation protocols, and task-specific adaptations. The role of synthetic data is systematically examined as a means to address data scarcity, reduce annotation noise, and enhance model generalization through controlled variability and simulation-based augmentation. In parallel, the integration of explainable artificial intelligence (XAI) techniques is also analyzed, with a focus on post-hoc attribution methods, probabilistic reasoning models, and interpretable neural architectures, aimed at improving the transparency and accountability of decision-making processes. The survey identifies persisting research challenges, including dataset heterogeneity, limitations in cross-domain transferability, and the accuracy-interpretability trade-off in deep models. By delineating current limitations and prospective directions, this work provides a foundational reference to guide the development of robust, generalizable, and explainable BAR systems for deployment in real-world sports intelligence applications. © 2025 Elsevier B.V., All rights reserved.","Article","Final","","Scopus","2-s2.0-105012934994"
"G., Chellamuthu, Girinivasan; S.K., Sahanand, Santosh K.; S., Sundar, Shyam; S., Bradley, Solomon; A., Gudimetla, Avanni; D.V., Rajan, David Vaithyalingam","Chellamuthu, Girinivasan (57216951661); Sahanand, Santosh K. (56823618600); Sundar, Shyam (57192713441); Bradley, Solomon (60001989800); Gudimetla, Avanni (60000627000); Rajan, David Vaithyalingam (7005909377)","57216951661; 56823618600; 57192713441; 60001989800; 60000627000; 7005909377","Injury prediction model for lower-limb sports injuries: A novel machine learning-based approach","2025","Journal of Clinical Orthopaedics and Trauma","69","","103114","","","0","0","10.1016/j.jcot.2025.103114","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105010927640&doi=10.1016%2Fj.jcot.2025.103114&partnerID=40&md5=d4e6963b97d6bcaa8ed1010251cb1b16","Background: The complex interaction between various risk factors plays a crucial role in sports injuries. Preventive approaches should consider all of these factors to help identify at-risk individuals. Advanced machine-learning tools and artificial intelligence can be utilized for this purpose. This study aimed to develop an effective injury prediction model for lower-limb sports injuries. Methods: A total of 120 male university-level football, cricket, and basketball players underwent elaborate mental and physical screening, accounting for 44 variables. The injury details of the previous season were recorded. Using these data, different injury-predicting muscle-learning models were built, and their efficiencies were compared. Results: Thirty-eight injuries were recorded, 20 (52.6 %) of which corresponded to ankle injuries, nine to hamstring injuries (23.6 %), four to knee injuries (10.5 %), and five to foot injuries (13.3 %). Eight injuries occurred during the training phase, and 30 injuries occurred during the competition. Six players sustained the injuries twice. In this case, only the initial injury was considered. Finally, thirty-two injuries were used to construct the model. The model generated by the K Nearest Neighbour algorithm (KNN) with Random Oversampling (ROS) as an oversampling technique was found to be the best (area under the receiver operating characteristic curve score = 0.87, true positive rate = 100 %, true negative rate = 62.5 %). Conclusions: The machine learning KNN model with ROS showed good accuracy in predicting athletes prone to injuries in football, cricket and basketball. This model would be helpful in injury prevention programs. Larger prospective studies are needed to validate the model. © 2025 Elsevier B.V., All rights reserved.","Article","Final","","Scopus","2-s2.0-105010927640"
